,alti,drct,dwpf,feel,mslp,relh,sknt,tmpf,valid,vsby,skyc1_CLR,skyc1_FEW,skyc1_OVC,skyc1_SCT,skyc1_VV 
5578,30.223996918643632,242.49799382991245,70.25985106777559,76.3,1021.350008914245,77.0813115736316,4.400077033909185,76.3,17-07-2021 13:15,10.0,1,0,0,0,0
5579,30.221996462146397,234.9959876598249,70.23985506212641,83.51,1021.0500089142448,70.0416402516441,5.499955418442498,80.1,17-07-2021 14:15,10.0,1,0,0,0,0
5580,30.221996462146397,226.66666666666663,70.37983566099373,87.73,1021.000010697094,64.89365126464,5.799897288121086,82.8,17-07-2021 15:15,10.0,1,0,0,0,0
5581,30.215996661863933,259.99900141228835,69.61987046890826,89.4,1020.750012479943,60.01778242200317,7.399948644060543,84.9,17-07-2021 16:15,10.0,1,0,0,0,0
5582,30.203996205366693,258.0019686443459,69.85982396325197,91.42,1020.450012479943,58.69776829911981,6.799711836117491,86.4,17-07-2021 17:15,10.0,0,0,0,1,0
5583,30.176997831854624,221.99519299346704,70.44998145665134,92.63,1019.950016045641,67.68391350241065,7.600112686503295,87.6,17-07-2021 18:15,8.07486163809089,0,0,0,1,0
5584,30.161997860352333,183.99450823764357,70.11994222951287,83.28,1019.1500053485468,69.84668062192424,6.500042792953427,80.1,17-07-2021 19:04,8.57489836673561,0,1,0,0,0
5585,30.14713869416368,225.71160743397456,69.54265365177699,90.4,1018.650008914245,58.16661089827192,8.571476605803717,84.7,17-07-2021 20:15,10.0,0,0,0,1,0
5586,30.14221930769962,232.221209623736,69.4441729799981,90.95,1018.900010697094,58.51711723777221,8.555765999936602,88.0,17-07-2021 21:05,10.0,0,1,0,0,0
5587,30.15199717542333,210.00499293855836,70.65986390676044,87.58,1018.800014262792,72.37866873992498,5.80001141243099,82.4,17-07-2021 22:15,8.400205423757829,0,0,0,0,0
5588,30.167996975705787,90.01740395726044,71.05972125137306,73.6,1019.400010697094,82.5978148047761,2.4004622034551133,73.6,17-07-2021 23:15,10.0,0,0,0,1,0
5589,30.193995634745143,239.9968615814776,70.29984593218164,74.8,1019.9000142627918,82.8680996875847,6.599837372858386,74.8,18-07-2021 00:15,9.400077033909186,1,0,0,0,0
